benchmark,family,result,time,memory,conflict,decision,stage
mbo_E4E26,20161105-Sturm-MBO,timeout,1199.92,557.75,0,0,0
mbo_E4E27,20161105-Sturm-MBO,timeout,1199.97,385.64,0,0,0
mbo_E4E28,20161105-Sturm-MBO,timeout,1199.92,589.25,0,0,0
mbo_E4E5,20161105-Sturm-MBO,timeout,1199.89,775.69,0,0,0
mbo_E4E6,20161105-Sturm-MBO,timeout,1199.92,416.75,0,0,0
mbo_E4E7,20161105-Sturm-MBO,timeout,1199.95,437.88,0,0,0
mbo_E4E8,20161105-Sturm-MBO,timeout,1199.9,362.06,0,0,0
mbo_E4E9,20161105-Sturm-MBO,timeout,1199.91,721.42,0,0,0
mbo_E4,20161105-Sturm-MBO,timeout,1199.97,1639.52,0,0,0
mbo_E5E10,20161105-Sturm-MBO,timeout,1199.89,713.52,0,0,0
mbo_E5E11,20161105-Sturm-MBO,timeout,1199.97,291.46,0,0,0
mbo_E5E12,20161105-Sturm-MBO,timeout,1199.9,661.12,0,0,0
mbo_E5E13,20161105-Sturm-MBO,timeout,1199.89,694.52,0,0,0
mbo_E5E15,20161105-Sturm-MBO,timeout,1199.89,688.32,0,0,0
mbo_E5E16,20161105-Sturm-MBO,timeout,1199.98,532.66,0,0,0
mbo_E5E17,20161105-Sturm-MBO,timeout,1199.98,413.33,0,0,0
mbo_E5E18,20161105-Sturm-MBO,timeout,1199.88,729.2,0,0,0
mbo_E5E19,20161105-Sturm-MBO,timeout,1199.91,592.14,0,0,0
mbo_E5E20,20161105-Sturm-MBO,timeout,1199.92,641.42,0,0,0
mbo_E5E21,20161105-Sturm-MBO,unsat,0.26,18.71,35.0,10.0,36.0
mbo_E5E22,20161105-Sturm-MBO,timeout,1199.92,627.62,0,0,0
mbo_E5E23,20161105-Sturm-MBO,unsat,0.13,18.69,28.0,9.0,28.0
mbo_E5E24,20161105-Sturm-MBO,timeout,1199.91,673.91,0,0,0
mbo_E5E25,20161105-Sturm-MBO,timeout,1199.92,645.17,0,0,0
mbo_E5E26,20161105-Sturm-MBO,unsat,0.03,18.6,5.0,0,6.0
mbo_E5E27,20161105-Sturm-MBO,unsat,0.02,18.21,9.0,4.0,9.0
mbo_E5E28,20161105-Sturm-MBO,timeout,1199.98,270.64,0,0,0
mbo_E5E6,20161105-Sturm-MBO,timeout,1199.96,597.54,0,0,0
mbo_E5E7,20161105-Sturm-MBO,unsat,0.04,18.5,5.0,0,6.0
mbo_E5E8,20161105-Sturm-MBO,timeout,1199.89,701.89,0,0,0
mbo_E5E9,20161105-Sturm-MBO,timeout,1199.98,624.82,0,0,0
mbo_E5,20161105-Sturm-MBO,unsat,0.01,18.11,4.0,0,5.0
mbo_E6E10,20161105-Sturm-MBO,timeout,1199.89,715.94,0,0,0
mbo_E6E11,20161105-Sturm-MBO,timeout,1199.98,231.57,0,0,0
mbo_E6E12,20161105-Sturm-MBO,timeout,1199.85,725.54,0,0,0
mbo_E6E13,20161105-Sturm-MBO,timeout,1199.89,742.69,0,0,0
mbo_E6E14,20161105-Sturm-MBO,timeout,1199.82,824.94,0,0,0
mbo_E6E15,20161105-Sturm-MBO,timeout,1199.89,718.49,0,0,0
mbo_E6E16,20161105-Sturm-MBO,timeout,1200.01,446.07,0,0,0
mbo_E6E17,20161105-Sturm-MBO,timeout,1199.98,96.48,0,0,0
mbo_E6E18,20161105-Sturm-MBO,timeout,1199.89,664.94,0,0,0
mbo_E6E19,20161105-Sturm-MBO,timeout,1199.9,624.77,0,0,0
mbo_E6E20,20161105-Sturm-MBO,timeout,1199.94,657.65,0,0,0
mbo_E6E21,20161105-Sturm-MBO,timeout,1199.99,635.42,0,0,0
mbo_E6E22,20161105-Sturm-MBO,timeout,1199.91,699.31,0,0,0
mbo_E6E23,20161105-Sturm-MBO,timeout,1199.97,39.66,0,0,0
mbo_E6E24,20161105-Sturm-MBO,timeout,1199.91,722.7,0,0,0
mbo_E6E25,20161105-Sturm-MBO,timeout,1199.91,712.75,0,0,0
mbo_E6E26,20161105-Sturm-MBO,timeout,1199.97,731.64,0,0,0
