benchmark,family,result,time,memory
mbo_E5E10,20161105-Sturm-MBO,timeout,0,0
mbo_E5E11,20161105-Sturm-MBO,unsat,0.358,42.57
mbo_E5E12,20161105-Sturm-MBO,unsat,16.113,184.465
mbo_E5E13,20161105-Sturm-MBO,unsat,16.691,189.988
mbo_E5E15,20161105-Sturm-MBO,unsat,16.508,187.02
mbo_E5E16,20161105-Sturm-MBO,unsat,0.615,68.609
mbo_E5E17,20161105-Sturm-MBO,unsat,3.73,115.07
mbo_E5E18,20161105-Sturm-MBO,timeout,0,0
mbo_E5E19,20161105-Sturm-MBO,unsat,15.337,176.949
mbo_E5E20,20161105-Sturm-MBO,unsat,8.718,129.652
mbo_E5E21,20161105-Sturm-MBO,unsat,0.754,52.07
mbo_E5E22,20161105-Sturm-MBO,unsat,9.873,137.789
mbo_E5E23,20161105-Sturm-MBO,unsat,0.361,46.844
mbo_E5E24,20161105-Sturm-MBO,unsat,12.293,153.582
mbo_E5E25,20161105-Sturm-MBO,unsat,10.663,143.477
mbo_E5E26,20161105-Sturm-MBO,unsat,0.364,43.281
mbo_E5E27,20161105-Sturm-MBO,unsat,0.221,46.648
mbo_E5E28,20161105-Sturm-MBO,unsat,0.799,65.434
mbo_E5E6,20161105-Sturm-MBO,unsat,1.054,72.922
mbo_E5E7,20161105-Sturm-MBO,unsat,0.516,52.375
mbo_E5E8,20161105-Sturm-MBO,unsat,18.249,197.074
mbo_E5E9,20161105-Sturm-MBO,unsat,2.68,102.875
mbo_E5,20161105-Sturm-MBO,unsat,0.059,16.211
mbo_E6E10,20161105-Sturm-MBO,timeout,0,0
mbo_E6E11,20161105-Sturm-MBO,unsat,0.469,48.645
mbo_E6E12,20161105-Sturm-MBO,unsat,15.369,186.426
mbo_E6E13,20161105-Sturm-MBO,unsat,18.285,192.012
mbo_E6E14,20161105-Sturm-MBO,timeout,0,0
mbo_E6E15,20161105-Sturm-MBO,unsat,15.349,186.289
mbo_E6E16,20161105-Sturm-MBO,unsat,0.452,51.602
mbo_E6E17,20161105-Sturm-MBO,unsat,0.416,48.0
mbo_E6E18,20161105-Sturm-MBO,timeout,0,0
mbo_E6E19,20161105-Sturm-MBO,timeout,0,0
mbo_E6E20,20161105-Sturm-MBO,timeout,0,0
mbo_E6E21,20161105-Sturm-MBO,timeout,0,0
mbo_E6E22,20161105-Sturm-MBO,timeout,0,0
mbo_E6E23,20161105-Sturm-MBO,unsat,0.488,48.551
mbo_E6E24,20161105-Sturm-MBO,unsat,10.678,142.141
mbo_E6E25,20161105-Sturm-MBO,timeout,0,0
mbo_E6E26,20161105-Sturm-MBO,unsat,0.804,59.566
mbo_E6E27,20161105-Sturm-MBO,unsat,0.14,29.523
mbo_E6E28,20161105-Sturm-MBO,unsat,0.624,58.062
mbo_E6E7,20161105-Sturm-MBO,unsat,0.382,42.578
mbo_E6E8,20161105-Sturm-MBO,unsat,18.948,196.066
mbo_E6E9,20161105-Sturm-MBO,unsat,1.262,67.336
mbo_E6,20161105-Sturm-MBO,unsat,0.053,15.246
mbo_E7E10,20161105-Sturm-MBO,timeout,0,0
mbo_E7E11,20161105-Sturm-MBO,unsat,0.007,8.527
mbo_E7E12,20161105-Sturm-MBO,unsat,5.568,99.453
mbo_E7E13,20161105-Sturm-MBO,unsat,6.474,101.879
mbo_E7E14,20161105-Sturm-MBO,timeout,0,0
mbo_E7E15,20161105-Sturm-MBO,unsat,5.604,100.738
mbo_E7E16,20161105-Sturm-MBO,unsat,0.339,41.555
mbo_E7E17,20161105-Sturm-MBO,unsat,0.311,40.062
mbo_E7E18,20161105-Sturm-MBO,timeout,0,0
mbo_E7E19,20161105-Sturm-MBO,unsat,4.863,93.578
mbo_E7E20,20161105-Sturm-MBO,unsat,1.884,58.949
mbo_E7E21,20161105-Sturm-MBO,unsat,0.142,24.844
mbo_E7E22,20161105-Sturm-MBO,unsat,2.437,68.059
mbo_E7E23,20161105-Sturm-MBO,unsat,0.341,35.211
mbo_E7E24,20161105-Sturm-MBO,unsat,2.944,72.758
mbo_E7E25,20161105-Sturm-MBO,unsat,2.908,71.266
mbo_E7E26,20161105-Sturm-MBO,unsat,0.19,30.375
mbo_E7E27,20161105-Sturm-MBO,unsat,0.006,8.516
mbo_E7E28,20161105-Sturm-MBO,unsat,0.201,29.957
mbo_E7E8,20161105-Sturm-MBO,unsat,6.697,108.234
mbo_E7E9,20161105-Sturm-MBO,unsat,0.36,41.59
mbo_E7,20161105-Sturm-MBO,unsat,0.003,11.363
mbo_E8E10,20161105-Sturm-MBO,timeout,0,0
mbo_E8E11,20161105-Sturm-MBO,unsat,3.406,72.434
mbo_E8E12,20161105-Sturm-MBO,unsat,15.919,163.129
mbo_E8E13,20161105-Sturm-MBO,unsat,17.066,172.09
mbo_E8E14,20161105-Sturm-MBO,timeout,0,0
mbo_E8E15,20161105-Sturm-MBO,unsat,15.491,164.543
mbo_E8E16,20161105-Sturm-MBO,timeout,0,0
mbo_E8E17,20161105-Sturm-MBO,timeout,0,0
mbo_E8E18,20161105-Sturm-MBO,unsat,13.917,162.781
mbo_E8E19,20161105-Sturm-MBO,unsat,15.804,162.957
mbo_E8E20,20161105-Sturm-MBO,timeout,0,0
mbo_E8E21,20161105-Sturm-MBO,timeout,0,0
mbo_E8E22,20161105-Sturm-MBO,unsat,9.272,131.035
mbo_E8E23,20161105-Sturm-MBO,unsat,7.279,120.289
mbo_E8E24,20161105-Sturm-MBO,unsat,10.409,140.414
mbo_E8E25,20161105-Sturm-MBO,unsat,10.069,135.238
mbo_E8E26,20161105-Sturm-MBO,unsat,8.916,131.934
mbo_E8E27,20161105-Sturm-MBO,unsat,1.764,57.27
mbo_E8E28,20161105-Sturm-MBO,unsat,9.631,136.609
mbo_E8E9,20161105-Sturm-MBO,timeout,0,0
mbo_E8,20161105-Sturm-MBO,unsat,0.374,24.141
mbo_E9E10,20161105-Sturm-MBO,unsat,0.635,29.145
mbo_E9E11,20161105-Sturm-MBO,unsat,0.045,13.98
mbo_E9E12,20161105-Sturm-MBO,unsat,7.632,120.977
mbo_E9E13,20161105-Sturm-MBO,unsat,10.761,149.859
mbo_E9E14,20161105-Sturm-MBO,timeout,0,0
mbo_E9E15,20161105-Sturm-MBO,unsat,8.044,124.121
mbo_E9E16,20161105-Sturm-MBO,unsat,0.428,47.73
mbo_E9E17,20161105-Sturm-MBO,unsat,0.799,62.051
mbo_E9E18,20161105-Sturm-MBO,timeout,0,0
mbo_E9E19,20161105-Sturm-MBO,timeout,0,0
mbo_E9E20,20161105-Sturm-MBO,unsat,0.514,30.207
mbo_E9E21,20161105-Sturm-MBO,unsat,0.046,22.016
mbo_E9E22,20161105-Sturm-MBO,timeout,0,0
mbo_E9E23,20161105-Sturm-MBO,unsat,0.477,54.141
mbo_E9E24,20161105-Sturm-MBO,timeout,0,0
mbo_E9E25,20161105-Sturm-MBO,timeout,0,0
mbo_E9E26,20161105-Sturm-MBO,unsat,0.388,48.469
mbo_E9E27,20161105-Sturm-MBO,unsat,0.115,23.34
mbo_E9E28,20161105-Sturm-MBO,unsat,0.442,49.016
mbo_E9,20161105-Sturm-MBO,unsat,0.017,17.746
mgc_02,20161105-Sturm-MGC,timeout,0,0
mgc_03,20161105-Sturm-MGC,timeout,0,0
mgc_04,20161105-Sturm-MGC,timeout,0,0
mgc_05,20161105-Sturm-MGC,timeout,0,0
mgc_06,20161105-Sturm-MGC,timeout,0,0
mgc_07,20161105-Sturm-MGC,timeout,0,0
mgc_08,20161105-Sturm-MGC,timeout,0,0
mgc_09,20161105-Sturm-MGC,timeout,0,0
mgc_10,20161105-Sturm-MGC,timeout,0,0
afnp2014.c.i_3_5_3.bpl_5,20170501-Heizmann-UltimateInvariantSynthesis,timeout,0,0
array1.i_3_2_2.bpl_9,20170501-Heizmann-UltimateInvariantSynthesis,timeout,0,0
array_monotonic.i_3_2_2.bpl_9,20170501-Heizmann-UltimateInvariantSynthesis,timeout,0,0
array_ptr_single_elem_init.i_4_2_2.bpl_5,20170501-Heizmann-UltimateInvariantSynthesis,timeout,0,0
array_single_elem_init.i_4_2_2.bpl_5,20170501-Heizmann-UltimateInvariantSynthesis,timeout,0,0
avg60.i_5_5_4.bpl_3,20170501-Heizmann-UltimateInvariantSynthesis,timeout,0,0
cggmp2005_variant.c.i_3_3_2.bpl_5,20170501-Heizmann-UltimateInvariantSynthesis,timeout,0,0
check_removal_from_set_after_insertion.i_8_6_6.bpl_3,20170501-Heizmann-UltimateInvariantSynthesis,timeout,0,0
